source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
tet,0,None,language,Tetumi,Tetum,Main spoken language Tetum,609095001,43531383,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tgk,0,None,language,Tadžiki,Tajik,Main spoken language Tajik,698682001,44784518,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tgl,0,None,language,Tagalogi,Tagalog,Main spoken language Tagalog,408517002,4248657,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tha,0,None,language,Tai,Thai,Main spoken language Thai,408519004,4248658,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tib,0,None,language,Tiibeti,Tibetan,Main spoken language Tibetan,698926003,44782913,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tig,0,None,language,Tigree,Tigre,,No matching concept,0,None,,,2024-06-04,2099-12-31
tir,0,None,language,Tigrinja,Tigrinya,Main spoken language Tigrinya,408533004,4235408,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tiv,0,None,language,Tivi,Tiv,,No matching concept,0,None,,,2024-06-04,2099-12-31
tkl,0,None,language,Tokelau,Tokelau,,No matching concept,0,None,,,2024-06-04,2099-12-31
tlh,0,None,language,Klingoni,Klingon; tlhIngan-Hol,,No matching concept,0,None,,,2024-06-04,2099-12-31
tli,0,None,language,Tlingiti,Tlingit,,No matching concept,0,None,,,2024-06-04,2099-12-31
tmh,0,None,language,Tamašeki,Tamashek,,No matching concept,0,None,,,2024-06-04,2099-12-31
tog,0,None,language,Tonga (Malawis),Tonga (Nyasa),Main spoken language Tongan,698927007,44782914,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ton,0,None,language,Tonga (Okeaanias),Tonga (Tonga Islands),Main spoken language Tongan,698927007,44782914,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tpi,0,None,language,Tok-Pisini,Tok Pisin,,No matching concept,0,None,,,2024-06-04,2099-12-31
tsi,0,None,language,Tsimši keeled,Tsimshian,,No matching concept,0,None,,,2024-06-04,2099-12-31
tsn,0,None,language,Tsvana,Tswana,Main spoken language Tswana,698684000,44784519,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tso,0,None,language,Tsonga,Tsonga,Main spoken language Tsonga,698683006,44782515,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tuk,0,None,language,Türkmeeni,Turkmen,Main spoken language Turkmen,698928002,44782915,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tum,0,None,language,Tumbuka,Tumbuka,,No matching concept,0,None,,,2024-06-04,2099-12-31
tup,0,None,language,Tupii keeled,Tupi languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
tur,0,None,language,Türgi,Turkish,Main spoken language Turkish,407657008,4233052,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tut,0,None,language,Altai keeled,Altaic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
tvl,0,None,language,Tuvalu,Tuvalu,,No matching concept,0,None,,,2024-06-04,2099-12-31
twi,0,None,language,Tvii,Twi,Main spoken language Twi,698685004,44784520,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tyv,0,None,language,Tõva,Tuvinian,,No matching concept,0,None,,,2024-06-04,2099-12-31
udm,0,None,language,Udmurdi,Udmurt,,No matching concept,0,None,,,2024-06-04,2099-12-31
uga,0,None,language,Ugariti,Ugaritic,,No matching concept,0,None,,,2024-06-04,2099-12-31
uig,0,None,language,Uiguuri,Uighur; Uyghur,Main spoken language Uigur,698929005,44782916,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ukr,0,None,language,Ukraina,Ukrainian,Main spoken language Ukrainian,407659006,4233053,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
umb,0,None,language,Umbundu,Umbundu,,No matching concept,0,None,,,2024-06-04,2099-12-31
und,0,None,language,Määratlemata keeled,Undetermined,,No matching concept,0,None,,,2024-06-04,2099-12-31
urd,0,None,language,Urdu,Urdu,Main spoken language Urdu,315588006,4154084,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
uzb,0,None,language,Usbeki,Uzbek,Main spoken language Uzbek,698930000,44782917,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
vai,0,None,language,Vai,Vai,,No matching concept,0,None,,,2024-06-04,2099-12-31
ven,0,None,language,Venda,Venda,Main spoken language Venda,971011000000109,46285430,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
vep,0,None,language,Vepsa,Veps,,No matching concept,0,None,,,2024-06-04,2099-12-31
vie,0,None,language,Vietnami,Vietnamese,Main spoken language Vietnamese,407661002,4236304,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
vol,0,None,language,Volapük,Volapük,Main spoken language Volapük,971021000000103,46285431,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
vot,0,None,language,Vadja,Votic,,No matching concept,0,None,,,2024-06-04,2099-12-31
wak,0,None,language,Vakaši keeled,Wakashan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
wal,0,None,language,Volaita,Wolaitta; Wolaytta,,No matching concept,0,None,,,2024-06-04,2099-12-31
war,0,None,language,Varai,Waray,,No matching concept,0,None,,,2024-06-04,2099-12-31
was,0,None,language,Vašo,Washo,,No matching concept,0,None,,,2024-06-04,2099-12-31
wel,0,None,language,Kõmri; Uelsi,Welsh,Main spoken language Welsh,408532009,4256748,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
wen,0,None,language,Sorbi keeled,Sorbian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
wln,0,None,language,Vallooni,Walloon,Main spoken language Walloon,971031000000101,46285432,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
wol,0,None,language,Volofi,Wolof,Main spoken language Wolof,698932008,44782919,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
xal,0,None,language,Kalmõki,Kalmyk; Oirat,,No matching concept,0,None,,,2024-06-04,2099-12-31
xho,0,None,language,Koosa,Xhosa,Main spoken language Xhosa,698933003,44782920,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
yao,0,None,language,Jao,Yao,,No matching concept,0,None,,,2024-06-04,2099-12-31
yap,0,None,language,Japi,Yapese,,No matching concept,0,None,,,2024-06-04,2099-12-31
yid,0,None,language,Jidiš,Yiddish,Main spoken language Yiddish,698934009,44782921,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
yor,0,None,language,Joruba,Yoruba,Main spoken language Yoruba,315589003,4154085,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ypk,0,None,language,Jupiki keeled,Yupik languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
yrk,0,None,language,Neenetsi,Nenets,,No matching concept,0,None,,,2024-06-04,2099-12-31
